,0,1
40,Laptop ASUS ROG Strix G18 WUXGA 18 inch AMD Ryzen 9 8940HX 32GB 1TB SSD RTX 5070 Free Dos Eclipse Gray,"10.896,92 Lei"
41,"Laptop ASUS Zenbook A14 UX3407RA cu procesor Snapdragon® X Elite X1E 78 100 pana la 3.4GHz, 14''. WUXGA, OLED, 32GB LPDDR5X RAM, 1TB SSD, Qualcomm® Adreno™ GPU, Windows 11 Pro, Iceland Gray","5.799,00 Lei"
42,"Laptop ASUS Vivobook 15 A1504VA cu procesor Intel® Core™ i5-1335U pana la 4.6GHz, 15.6'', Full HD, IPS, 16GB DDR4, 512GB SSD, Intel® Iris Xe Graphics, No OS, Terra Cotta","de la 2.799,99 Lei"
43,"Laptop ASUS VivoBook Go 15 L1504FA cu procesor AMD Ryzen™ 5 7520U pana la 4.30 GHz, 15.6"", Full HD, IPS, 8GB, 512GB SSD, AMD Radeon™ Graphics, No OS, Green Gray","de la 1.899,99 Lei"
44,"Laptop Gaming Gigabyte G7 MF cu procesor Intel® Core™ i5-12500H pana la 4.50GHz, 17.3"", Full HD, 144Hz, 16GB, 512GB SSD, NVIDIA GeForce RTX 4050 6GB GDDR6, No OS, Black","4.900,50 Lei"
45,"Laptop Dell Vostro 3530 cu procesor Intel® Core™ i7-1355U pana la 5.0GHz, 15.6'', Full HD, IPS, 120Hz, 16GB DDR4 RAM, 512GB SSD, Intel® Iris® Xe Graphics, Windows 11 Pro, Black","3.199,99 Lei"
46,"Laptop Dell Vostro 3530 cu procesor Intel® Core™ i5-1334U pana la 4.6GHz, 15.6'', Full HD, 120Hz, 8GB DDR4, 512GB SSD, Intel® UHD Graphics, Ubuntu, Carbon Black","2.099,99 Lei"
47,"Laptop Lenovo V15 G4 IRU cu procesor Intel® Core™ i5-13420H pana la 4.6GHz, 15.6"" Full HD, IPS, 16GB DDR4 RAM, 512GB SSD, Intel® UHD Graphics, No OS, Business Black","2.189,99 Lei"
48,"Laptop Gaming ASUS TUF F17 FX707VJ cu procesor Intel® Core™ 5 210H pana la 4.8GHz, 17.3'', Full HD, 144Hz, IPS, 16GB DDR4 RAM, 512GB SSD, NVIDIA® GeForce RTX™ 3050 6GB GDDR6, No OS, Mecha Gray","3.799,99 Lei"
49,"Laptop Gaming Lenovo LOQ 15IAX9 cu procesor Intel® Core™ i5-12600HX pana la 4.6GHz, 15.6"" Full HD, IPS, 144Hz, 24GB DDR5 RAM, 1TB SSD, NVIDIA® GeForce RTX™ 4050 6GB GDDR6, No OS, Luna Grey","4.349,99 Lei"
50,"Laptop HP 250 G9 cu procesor Intel® Celeron® N4500 pana la 2.8GHz, 15.6'', 8GB DDR4 RAM, 256GB SSD, Intel® UHD Graphics, Free DOS, Dark ash silver","1.299,99 Lei"
51,"Laptop Gaming Lenovo LOQ 15IRX10 cu procesor Intel® Core i7-13700HX pana la 5.0GHz, 15.6"" Full HD, IPS, 144Hz, 24GB DDR5 RAM, 1TB SSD, NVIDIA® GeForce RTX™ 5050 8GB GDDR7, No OS, Luna Grey","5.399,99 Lei"
52,"Laptop Lenovo IdeaPad Slim 5 15IRH9R cu procesor Intel® Core™ 5 210H pana la 4.8GHz, 15.3"" WUXGA, IPS, 16GB LPDDR5x RAM, 1TB SSD, Intel® Graphics, No OS, Purple","3.299,99 Lei"
53,"Laptop Acer Extensa 15 EX215-57-51XH cu procesor Intel® Core™ i5-13420H pana la 4.6GHz, 15.6"", Full HD, IPS, 16GB DDR5 RAM, 512GB SSD, Intel® UHD Graphics, No OS, Pure Silver","2.442,52 Lei"
54,"Laptop Lenovo IdeaPad 1, Intel Core i3 1215U, 8GB Memory, 256GB SSD, 15.6"" FullHD, Grey, Hungarian Layout, Windows 11 Pro","2.009,00 Lei"
55,"Laptop pentru gaming ASUS TUF F17 FX707VJ, Display 17.3"" FHD (1920x1080), Procesor Intel® Core™ 5 210H, Memorie RAM 16GB DDR4, Capacitate de stocare 512GB SSD, Placa video dedicata NVIDIA GeForce RTX 3050 6GB, No OS, Gri (INT Keyboard)","3.899,00 Lei"
56,"Laptop Acer Nitro cu procesor Intel® Core™ i7-13620H pana la 4.9GHz, 15.6'', Full HD, IPS, 144Hz, 16GB RAM, 512GB SSD, NVIDIA® GeForce RTX™ 4050 6GB GDDR6 , Free DOS, Black","6.021,49 Lei"
57,"Laptop Gaming MSI Katana A15 AI B8VF-606XRO cu procesor AMD Ryzen™ 7 8845HS pana la 5.1GHz, 15.6"" Full HD, 144Hz, IPS, 16GB DDR5 RAM, 512GB SSD, NVIDIA GeForce RTX 4060 8GB GDDR6, No OS, Black","4.799,99 Lei"
58,"Laptop Lenovo V15 G4 IRU cu procesor lntel® Core™ i5-13420H pana la 4.6GHz, 15.6"", Full HD, IPS, 16GB DDR4 RAM, 1TB SSD, Intel® UHD Graphics, No OS, Business Black","2.499,99 Lei"
59,"Laptop Lenovo IdeaPad Slim 5 14AHP10 cu procesor AMD Ryzen™ 7 8845HS pana la 5.1GHz, 14"" WUXGA, IPS, 32GB DDR5 RAM, 1TB SSD, AMD Radeon™ 780M Graphics, No OS, Luna Grey","3.699,99 Lei"
